Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:56:14 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 20:56:57; 9.062825203e+00 ; 1.025129128e+01 ; 1.079168224e+01 ; 1.089975452e+01 ; 6.102386093e+01 ; 7.139205933e+01 ; 7.228567505e+01 ; 7.243303680e+01 ; 7.246801758e+01 ; 6.014803648e-01 ;
10.12.2019; 21:11:57; 1.118998528e+01 ; 1.228973961e+01 ; 1.265940762e+01 ; 1.273334026e+01 ; 7.611875153e+01 ; 8.850467682e+01 ; 8.927587891e+01 ; 8.939458466e+01 ; 8.942872620e+01 ; 5.886194110e-01 ;
10.12.2019; 21:26:57; 9.907842636e+00 ; 1.389047050e+01 ; 1.665292740e+01 ; 1.720541954e+01 ; 6.108061218e+01 ; 7.545035553e+01 ; 7.885139465e+01 ; 7.947415161e+01 ; 7.957841492e+01 ; 8.359335661e-01 ;
10.12.2019; 21:41:57; 8.204874039e+00 ; 8.790837288e+00 ; 8.883507729e+00 ; 8.902039528e+00 ; 5.627553558e+01 ; 6.510801697e+01 ; 6.547439575e+01 ; 6.552350616e+01 ; 6.554311371e+01 ; 4.933023453e-01 ;
10.12.2019; 21:56:57; 1.038968754e+01 ; 1.183867073e+01 ; 1.252819538e+01 ; 1.266609764e+01 ; 6.977658081e+01 ; 8.176058197e+01 ; 8.286318207e+01 ; 8.304700470e+01 ; 8.308924866e+01 ; 6.261900663e-01 ;
10.12.2019; 22:11:57; 1.065369892e+01 ; 1.142092896e+01 ; 1.154641914e+01 ; 1.157151604e+01 ; 7.305814362e+01 ; 8.453398132e+01 ; 8.501547241e+01 ; 8.508030701e+01 ; 8.510594177e+01 ; 5.174929500e-01 ;
10.12.2019; 22:26:57; 1.155624962e+01 ; 1.377752590e+01 ; 1.503783703e+01 ; 1.528989697e+01 ; 7.633139801e+01 ; 9.035044098e+01 ; 9.212755585e+01 ; 9.243689728e+01 ; 9.249886322e+01 ; 6.411653161e-01 ;
10.12.2019; 22:41:57; 1.265168095e+01 ; 1.614317703e+01 ; 1.838056183e+01 ; 1.882803154e+01 ; 8.134241486e+01 ; 9.788880157e+01 ; 1.007916565e+02 ; 1.013126450e+02 ; 1.014065475e+02 ; 7.385329008e-01 ;
10.12.2019; 22:56:57; 1.253389835e+01 ; 1.484454250e+01 ; 1.613170815e+01 ; 1.638914108e+01 ; 8.299586487e+01 ; 9.808943939e+01 ; 9.992787933e+01 ; 1.002464218e+02 ; 1.003112030e+02 ; 6.208982468e-01 ;
10.12.2019; 23:11:57; 1.054196072e+01 ; 1.166092396e+01 ; 1.207627773e+01 ; 1.215934849e+01 ; 7.153660583e+01 ; 8.329899597e+01 ; 8.410044098e+01 ; 8.422653961e+01 ; 8.426073456e+01 ; 5.544181466e-01 ;
